"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun May 12 20:03:35 MSK 2024","Sun May 12 20:03:37 MSK 2024","2271","tests","test_order_page","TestOrderPage","","","Test log in and make order",""
"broken","Sun May 12 19:58:44 MSK 2024","Sun May 12 19:58:47 MSK 2024","2646","tests","test_constructor","TestConstructor","","","Test go to constructor",""
"failed","Sun May 12 20:04:08 MSK 2024","Sun May 12 20:04:08 MSK 2024","0","tests","test_order_page","TestOrderPage","","","Test log in, make order, and check order counter raise",""
"passed","Sun May 12 20:05:15 MSK 2024","Sun May 12 20:05:33 MSK 2024","18604","tests","test_order_page","TestOrderPage","","","Test log in, make order, and check order in progress feed",""
"passed","Sun May 12 20:02:31 MSK 2024","Sun May 12 20:02:36 MSK 2024","4301","tests","test_my_account_page","TestMyAccountPage","","","Test my account logout",""
"passed","Sun May 12 20:00:27 MSK 2024","Sun May 12 20:00:27 MSK 2024","25","tests","test_my_account_page","TestMyAccountPage","","","Test go to restore password page",""
"passed","Sun May 12 20:01:36 MSK 2024","Sun May 12 20:01:40 MSK 2024","3715","tests","test_my_account_page","TestMyAccountPage","","","Test go to my account profile",""
"broken","Sun May 12 20:01:53 MSK 2024","Sun May 12 20:01:56 MSK 2024","2870","tests","test_my_account_page","TestMyAccountPage","","","Test go to my account orders history",""
"broken","Sun May 12 20:00:57 MSK 2024","Sun May 12 20:00:57 MSK 2024","0","tests","test_my_account_page","TestMyAccountPage","","","Test click on show password, make it shine",""
"passed","Sun May 12 20:02:55 MSK 2024","Sun May 12 20:02:59 MSK 2024","3739","tests","test_order_page","TestOrderPage","","","Test go to order feed",""
"passed","Sun May 12 20:03:43 MSK 2024","Sun May 12 20:03:48 MSK 2024","5035","tests","test_order_page","TestOrderPage","","","Test log in and make order",""
"failed","Sun May 12 20:01:21 MSK 2024","Sun May 12 20:01:21 MSK 2024","0","tests","test_my_account_page","TestMyAccountPage","","","Test go to my account profile",""
"passed","Sun May 12 20:00:00 MSK 2024","Sun May 12 20:00:03 MSK 2024","3030","tests","test_constructor","TestConstructor","","","Test add element to order, increase counter",""
"broken","Sun May 12 20:05:06 MSK 2024","Sun May 12 20:05:09 MSK 2024","2913","tests","test_order_page","TestOrderPage","","","Test log in, make order, and check order in progress feed",""
"broken","Sun May 12 20:02:19 MSK 2024","Sun May 12 20:02:21 MSK 2024","2791","tests","test_my_account_page","TestMyAccountPage","","","Test my account logout",""
"passed","Sun May 12 19:59:16 MSK 2024","Sun May 12 19:59:19 MSK 2024","3334","tests","test_constructor","TestConstructor","","","Test click on element, pop-up appears",""
"passed","Sun May 12 19:58:51 MSK 2024","Sun May 12 19:58:53 MSK 2024","2449","tests","test_constructor","TestConstructor","","","Test go to constructor",""
"passed","Sun May 12 19:59:04 MSK 2024","Sun May 12 19:59:08 MSK 2024","3254","tests","test_constructor","TestConstructor","","","Test click on element, pop-up appears",""
"broken","Sun May 12 20:04:02 MSK 2024","Sun May 12 20:04:05 MSK 2024","3038","tests","test_order_page","TestOrderPage","","","Test log in, make order, and check order counter raise",""
"passed","Sun May 12 20:02:02 MSK 2024","Sun May 12 20:02:06 MSK 2024","3428","tests","test_my_account_page","TestMyAccountPage","","","Test go to my account orders history",""
"passed","Sun May 12 20:00:51 MSK 2024","Sun May 12 20:00:51 MSK 2024","141","tests","test_my_account_page","TestMyAccountPage","","","Test input data in email field",""
"passed","Sun May 12 20:01:14 MSK 2024","Sun May 12 20:01:14 MSK 2024","717","tests","test_my_account_page","TestMyAccountPage","","","Test click on show password, make it shine",""
"broken","Sun May 12 20:04:23 MSK 2024","Sun May 12 20:04:24 MSK 2024","1492","tests","test_order_page","TestOrderPage","","","Test log in, make order, and check today order counter raise",""
"passed","Sun May 12 20:00:41 MSK 2024","Sun May 12 20:00:41 MSK 2024","290","tests","test_my_account_page","TestMyAccountPage","","","Test input data in email field",""
"passed","Sun May 12 20:00:17 MSK 2024","Sun May 12 20:00:17 MSK 2024","17","tests","test_my_account_page","TestMyAccountPage","","","Test go to restore password page",""
"passed","Sun May 12 20:03:20 MSK 2024","Sun May 12 20:03:23 MSK 2024","2785","tests","test_order_page","TestOrderPage","","","Test open order to get details",""
"passed","Sun May 12 19:59:30 MSK 2024","Sun May 12 19:59:33 MSK 2024","2706","tests","test_constructor","TestConstructor","","","Test click on close pop-up, exit",""
"passed","Sun May 12 20:04:34 MSK 2024","Sun May 12 20:04:53 MSK 2024","18631","tests","test_order_page","TestOrderPage","","","Test log in, make order, and check today order counter raise",""
"broken","Sun May 12 20:03:10 MSK 2024","Sun May 12 20:03:12 MSK 2024","1687","tests","test_order_page","TestOrderPage","","","Test open order to get details",""
"broken","Sun May 12 19:59:55 MSK 2024","Sun May 12 19:59:56 MSK 2024","1497","tests","test_constructor","TestConstructor","","","Test add element to order, increase counter",""
"passed","Sun May 12 19:59:41 MSK 2024","Sun May 12 19:59:44 MSK 2024","2581","tests","test_constructor","TestConstructor","","","Test click on close pop-up, exit",""
"broken","Sun May 12 20:02:48 MSK 2024","Sun May 12 20:02:51 MSK 2024","3566","tests","test_order_page","TestOrderPage","","","Test go to order feed",""
